date,0,1,2,3,4,5,6,7,8,9
2017/11/27,1158737.638,1160888.671,1156329.585,1152261.901,1138139.157,1139097.826,1175734.511,1134126.019,1142010.868,1164535.467
2017/11/28,1171113.732,1171151.476,1166622.522,1164718.618,1148264.812,1153516.066,1190498.493,1148374.884,1153869.723,1175283.148
2017/11/29,1171340.919,1171653.229,1167868.299,1167044.281,1147781.394,1154475.895,1191487.786,1150464.065,1154557.994,1177449.388
2017/11/30,1176400.053,1177743.742,1173954.761,1171670.535,1153710.051,1160492.561,1194790.322,1156459.824,1160496.025,1182409.745
2017/12/1,1167779.345,1170265.985,1166847.298,1165423.25,1148416.716,1154932.917,1188379.539,1150191.144,1154338.334,1176597.573
2017/12/4,1163111.906,1166005.178,1164616.045,1159723.704,1142954.962,1150436.361,1184843.834,1148701.62,1149688.781,1172992.235
2017/12/5,1157900.992,1162734.127,1158756.939,1155716.553,1138953.44,1145602.783,1180584.463,1144679.979,1144542.443,1169128.489
2017/12/6,1158217.47,1161044.382,1159415.07,1156202.208,1139092.836,1145844.739,1181267.453,1145096.698,1144923.966,1169489.671
2017/12/7,1158928.553,1161735.022,1160351.336,1155413.16,1138506.851,1147556.188,1180116.567,1146175.962,1146859.182,1170076.638
2017/12/8,1158602.722,1161565.913,1160838.525,1155480.521,1137955.876,1147821.889,1179783.559,1145677.09,1146886.277,1169932.875
2017/12/11,1152383.857,1156922.892,1156156.694,1149634.165,1132310.49,1143736.066,1175273.346,1140865.818,1142412.319,1165233.703
2017/12/12,1153078.403,1157511.164,1156761.875,1150068.407,1132544.761,1144669.226,1176653.395,1140951.63,1142722.348,1165798.275
2017/12/13,1152944.963,1157764.194,1154820.755,1151064.718,1130657.102,1141690.861,1174778.79,1139043.148,1140728.581,1166052.623
2017/12/14,1145527.372,1150301.164,1147480.311,1144385.429,1123610.527,1132708.959,1166483.843,1131802.56,1133039.297,1158549.318
2017/12/15,1155450.845,1161534.8,1156889.499,1154327.89,1135384.412,1144002.068,1176460.992,1142239.872,1143928.519,1170438.546
2017/12/18,1162642.649,1167735.253,1166528.238,1163754.794,1141920.784,1151811.67,1182424.334,1149763.135,1152976.007,1181165.251
2017/12/19,1163960.455,1170010.121,1167509.488,1169363.539,1142847.595,1158309.437,1183641.17,1156330.309,1155027.165,1187828.613
2017/12/20,1159264.3,1165756.845,1162619.19,1164617.462,1138480.873,1153746.413,1179046.796,1151823.833,1150711.781,1183252.696
2017/12/21,1155469.019,1161718.452,1158562.246,1160707.392,1134208.87,1149955.224,1174305.124,1147852.723,1146293.737,1179262.994
2017/12/22,1153984.48,1160484.787,1157110.71,1159548.525,1133039.797,1149111.843,1173102.064,1146258.726,1144896.56,1178379.687
